




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitotic spindle assembly checkpoint signaling (GO:0007094)	30	26	11.92	+	2.18	1.48E-07	3.34E-06
nucleolus organization (GO:0007000)	15	13	5.96	+	2.18	2.56E-04	3.02E-03
mitotic spindle checkpoint signaling (GO:0071174)	30	26	11.92	+	2.18	1.48E-07	3.33E-06
spindle assembly checkpoint signaling (GO:0071173)	30	26	11.92	+	2.18	1.48E-07	3.33E-06
positive regulation of sterol biosynthetic process (GO:0106120)	15	13	5.96	+	2.18	2.56E-04	3.01E-03
regulation of chromosome condensation (GO:0060623)	15	13	5.96	+	2.18	2.56E-04	3.01E-03
negative regulation of smooth muscle cell migration (GO:0014912)	22	19	8.74	+	2.17	8.93E-06	1.46E-04
insulin-like growth factor receptor signaling pathway (GO:0048009)	29	25	11.52	+	2.17	3.25E-07	7.00E-06
negative regulation of chromosome segregation (GO:0051985)	36	31	14.30	+	2.17	1.21E-08	3.23E-07
facultative heterochromatin formation (GO:0140718)	14	12	5.56	+	2.16	5.64E-04	5.98E-03
negative regulation of nitric oxide biosynthetic process (GO:0045019)	14	12	5.56	+	2.16	5.64E-04	5.97E-03
regulation of extracellular matrix assembly (GO:1901201)	14	12	5.56	+	2.16	5.64E-04	5.97E-03
zymosterol biosynthetic process (GO:0036197)	14	12	5.56	+	2.16	5.64E-04	5.96E-03
zymosterol metabolic process (GO:0036196)	14	12	5.56	+	2.16	5.64E-04	5.96E-03
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	14	12	5.56	+	2.16	5.64E-04	5.96E-03
exit from mitosis (GO:0010458)	14	12	5.56	+	2.16	5.64E-04	5.95E-03
eyelid development in camera-type eye (GO:0061029)	14	12	5.56	+	2.16	5.64E-04	5.95E-03
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	30	13.91	+	2.16	4.62E-08	1.13E-06
negative regulation of chromosome separation (GO:1905819)	35	30	13.91	+	2.16	4.62E-08	1.13E-06
